Code,M201_1.1,M201_1.2,M201_2.1,M201_3.1,M201_3.2,M201_4.1,M201_4.2,M201_4.3,M201_4.4,M201_5.1,M201_5.2,M201_Q1,M201_QS1,M201_Q2,M201_QS2,M201_Q3,M201_QS3,M201_Q4,M201_QS4,M201_Q5,M201_QS5,M201-k,M201-u,M201-u-k,M301_1.1,M301_1.2,M301_2.1,M301_3.1,M301_3.2,M301_4.1,M301_4.2,M301_4.3,M301_4.4,M301_5.1,M301_5.2,M301_Q1,M301_QS1,M301_Q2,M301_QS2,M301_Q3,M301_QS3,M301_Q4,M301_QS4,M301_Q5,M301_QS5,M301-k,M301-u,M301-u-k,Klasse,M305_1.1,M305_1.2,M305_2.1,M305_3.1,M305_3.2,M305_4.1,M305_4.2,M305_4.3,M305_4.4,M305_5.1,M305_5.2,M305_Q1,M305_QS1,M305_Q2,M305_QS2,M305_Q3,M305_QS3,M305_Q4,M305_QS4,M305_Q5,M305_QS5,M305-k,M305-u,M305-u-k,NoteMathe,NoteNatW,Weiblich,B1,B1s,B2,B3,B4,B4s,B5,B6,B7,B7s,B8,B9,B10,B10s,B11,B12,B12s,SESSKOabs,Nat_SK_1,Nat_SK_2,Nat_SK_3,Nat_SK_4,Nat_SK_5,Nat_SK_6,Nat_SK_7,NAT_ROH
ABCF_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,,1,1,1,4,4,1,1,1,1,1,1,2,3,4,1,2,3,2.3333333333,6.3333333333,3,1,2,1,3,1,1,12
ABCF_15,1,1,2,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,3,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,3,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,5,5.3,1,3,3.6666666667,2,2,3,3.6666666667,3,3,4,5,2,1,2,3.6666666667,2,2,3.6666666667,19.6666666667,3,3,4,3,3,3,4,23
ABCF_20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.6,0,3,3.6666666667,2,2,3,3.6666666667,3,2,3,3.6666666667,1,2,2,3.6666666667,1,2,3.6666666667,18.3333333333,4,3,3,3,4,3,3,23
ABCF_21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,2,4,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,3.9,3.3,0,3,3.6666666667,3,2,3,3.6666666667,2,2,3,3.6666666667,2,2,2,3.6666666667,2,2,3.6666666667,18.3333333333,3,2,3,3,3,2,3,19
ABCF_22,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,3,3,4,1,1,3,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,2,4,2,3.3,4.7,0,2,2.3333333333,1,1,3,3.6666666667,3,2,2,2.3333333333,1,1,2,3.6666666667,1,1,5,17,4,4,4,4,4,3,2,25
ABCF_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,4,0,1,0,1,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,1,3,2,3.7,4.3,0,2,2.3333333333,3,2,3,3.6666666667,,2,2,2.3333333333,,2,2,3.6666666667,3,2,3.6666666667,15.6666666667,5,2,3,3,2,0,2,17
ABCF_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4.8,4.1,0,3,3.6666666667,3,2,4,5,3,2,3,3.6666666667,3,1,1,5,2,1,5,22.3333333333,2,2,4,3,3,3,3,20
ABCF_25,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,2,1,4,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,3,2,4.3,3.6,1,3,3.6666666667,2,3,3,3.6666666667,3,2,,-0.3333333333,3,2,2,3.6666666667,3,1,5,15.6666666667,2,3,3,2,2,3,0,15
ACBF_1,0,1,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,3,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,0,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,4,4,0,5.3,5.6,1,4,5,3,1,4,5,3,3,4,5,2,1,1,5,1,1,5,25,3,2,4,4,4,3,4,24
ACBF_2,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,1,2,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,4,1,3.1,4.9,1,2,2.3333333333,2,1,3,3.6666666667,2,1,3,3.6666666667,3,3,1,5,2,1,5,19.6666666667,2,3,2,4,3,2,3,19
ACBF_3,1,0,2,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,2,4,2,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,5.1,4.7,1,3,3.6666666667,2,1,4,5,3,2,4,5,2,1,1,5,1,1,5,23.6666666667,3,3,4,4,4,3,4,25
ACBF_4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3.5,,1,,-0.3333333333,4,4,3,3.6666666667,1,1,3,3.6666666667,2,1,2,3.6666666667,2,2,3.6666666667,14.3333333333,3,1,4,1,3,1,3,16
ACBF_5,0,1,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,0,4.7,,1,2,2.3333333333,4,2,4,5,2,2,3,3.6666666667,1,2,2,3.6666666667,1,1,5,19.6666666667,4,1,3,3,4,2,3,20
ACBF_6,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,4,1,4.7,5.2,1,3,3.6666666667,3,3,4,5,3,3,3,3.6666666667,1,2,2,3.6666666667,1,1,5,21,4,2,3,2,4,3,3,21
ACBF_7,1,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,4.75,,1,4,5,2,1,4,5,3,2,3,3.6666666667,1,2,1,5,1,1,5,23.6666666667,4,3,3,4,4,3,3,24
ACBF_8,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,2,1,1,3,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,4.9,4.7,1,3,3.6666666667,2,2,3,3.6666666667,2,2,3,3.6666666667,2,2,3,2.3333333333,1,2,3.6666666667,17,3,3,3,3,4,2,3,21
ACBF_10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,3,3.6666666667,3,4,3,3.6666666667,4,3,4,5,2,1,3,2.3333333333,2,2,3.6666666667,18.3333333333,3,2,4,1,3,4,4,21
ACBF_11,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,3,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,5.9,5.7,1,3,3.6666666667,2,1,3,3.6666666667,3,2,3,3.6666666667,1,1,1,5,2,1,5,21,4,3,4,4,3,3,3,24
ACBF_12,1,1,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,3,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,3,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,1,5.7,5.25,1,4,5,2,2,3,3.6666666667,2,2,3,3.6666666667,2,2,1,5,2,1,5,22.3333333333,3,3,3,3,3,2,3,20
ACBF_14,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,5.2,5.2,,3,3.6666666667,2,2,3,3.6666666667,3,2,3,3.6666666667,2,2,1,5,2,1,5,21,3,3,3,3,3,3,3,21
ACBF_15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,0,3,3.6666666667,2,2,4,5,3,3,3,3.6666666667,3,3,2,3.6666666667,3,2,3.6666666667,19.6666666667,2,3,2,3,2,3,3,18
ACBF_16,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,4.5,4.5,0,4,5,3,4,4,5,3,3,4,5,1,2,3,2.3333333333,2,3,2.3333333333,19.6666666667,4,2,3,1,3,3,4,20
ACBF_20,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,1,4.8,5.4,0,3,3.6666666667,3,1,3,3.6666666667,3,3,4,5,2,1,2,3.6666666667,1,2,3.6666666667,19.6666666667,3,2,4,4,4,3,4,24
ACBF_21,1,1,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,2,4,2,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0,4.5,3.6,1,3,3.6666666667,2,2,3,3.6666666667,,3,3,3.6666666667,2,1,2,3.6666666667,1,2,3.6666666667,18.3333333333,3,3,4,3,4,0,3,20
ACBF_22,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,2,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,4,1,5,3.9,1,4,5,2,1,3,3.6666666667,3,3,4,5,1,1,1,5,1,1,5,23.6666666667,4,3,4,4,4,3,4,26
ACBF_23,1,1,0,0,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,1,0,1,3,2,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,2,1,4,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,4,3,5,4.7,1,3,3.6666666667,2,2,3,3.6666666667,2,2,4,5,2,2,1,5,2,1,5,22.3333333333,3,3,3,3,3,2,4,21
ACBF_25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,2,1,4,3.5,1,2,2.3333333333,2,3,3,3.6666666667,2,1,2,2.3333333333,3,2,2,3.6666666667,3,2,3.6666666667,15.6666666667,2,3,3,2,2,2,2,16
FABC_1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,3,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,3,2,4.2,3.7,0,3,3.6666666667,2,3,4,5,1,1,3,3.6666666667,2,2,3,2.3333333333,1,2,3.6666666667,18.3333333333,3,3,3,2,4,1,3,19
FABC_2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5,0,4,5,1,3,2,2.3333333333,1,3,4,5,1,2,1,5,1,3,2.3333333333,19.6666666667,4,4,3,2,4,1,4,22
FABC_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,5.5,0,3,3.6666666667,2,3,3,3.6666666667,2,2,3,3.6666666667,2,2,2,3.6666666667,2,1,5,19.6666666667,3,3,3,2,3,2,3,19
FABC_4,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,3,2,5,4.3,0,2,2.3333333333,3,2,3,3.6666666667,3,3,3,3.6666666667,3,2,2,3.6666666667,2,2,3.6666666667,17,2,2,3,3,3,3,3,19
FABC_6,1,1,3,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,1,1,2,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,2,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,3,2,4.6,4.6,1,3,3.6666666667,4,2,3,3.6666666667,2,,2,2.3333333333,1,1,1,5,1,1,5,19.6666666667,4,1,4,3,4,2,2,20
FABC_8,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,2,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,3,2,4.5,4,1,3,3.6666666667,4,2,2,2.3333333333,2,2,2,2.3333333333,2,2,2,3.6666666667,2,2,3.6666666667,15.6666666667,3,1,3,3,3,2,2,17
FABC_10,1,1,2,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,1,1,3,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,3,1,1,2,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,5,5,,2,2.3333333333,2,3,2,2.3333333333,2,2,3,3.6666666667,,2,2,3.6666666667,2,2,3.6666666667,15.6666666667,5,3,3,2,3,2,3,21
FABC_11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,4.5,4.5,1,1,1,4,2,2,2.3333333333,2,1,1,1,3,1,3,2.3333333333,3,3,2.3333333333,9,2,1,4,3,2,2,1,15
FABC_14,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,3,1,1,2,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,5.1,4.5,0,3,3.6666666667,3,2,4,5,3,2,3,3.6666666667,2,2,3,2.3333333333,2,1,5,19.6666666667,3,2,3,3,3,3,3,20
FABC_15,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,0,3,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,5.3,5,0,3,3.6666666667,2,1,4,5,2,2,3,3.6666666667,1,2,1,5,1,2,3.6666666667,21,4,3,3,4,4,2,3,23
FABC_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,5.6,6,0,4,5,2,1,4,5,4,4,4,5,2,1,1,5,1,1,5,25,3,3,4,4,4,4,4,26
FABC_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,2,4,2,4,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,4,3,4.9,4.9,1,3,3.6666666667,4,2,3,3.6666666667,3,3,3,3.6666666667,2,2,1,5,2,2,3.6666666667,19.6666666667,3,1,3,3,3,3,3,19
FABC_21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,3,0,4.2,4.5,0,3,3.6666666667,,,3,3.6666666667,,,3,3.6666666667,,,2,3.6666666667,,2,3.6666666667,18.3333333333,5,5,5,5,5,0,3,28
FABC_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,3,2,4.4,4.9,0,4,5,3,2,4,5,2,3,4,5,1,3,2,3.6666666667,2,1,5,23.6666666667,4,2,2,3,3,2,4,20
FABC_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,4,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3.4,3.5,0,3,3.6666666667,2,1,3,3.6666666667,3,3,4,5,1,1,2,3.6666666667,1,1,5,21,4,3,4,4,4,3,4,26
FABC_24,1,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,3,1,4,3.6,1,3,3.6666666667,2,2,3,3.6666666667,2,2,3,3.6666666667,2,2,2,3.6666666667,2,2,3.6666666667,18.3333333333,3,3,3,3,3,2,3,20
FABC_25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,3,4,1,4,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,3,2,4.9,4.75,1,3,3.6666666667,3,1,,-0.3333333333,3,2,3,3.6666666667,1,2,2,3.6666666667,2,1,5,15.6666666667,4,2,3,4,3,3,3,22
